<TICKER>,<DATE>,<TIME>,<OPEN>,<LOW>,<HIGH>,<CLOSE>
EURUSD,20100122,00:00:00,1.4082,1.4064,1.4178,1.4137
EURUSD,20100125,00:00:00,1.4150,1.4127,1.4191,1.4146
EURUSD,20100126,00:00:00,1.4146,1.4041,1.4176,1.4077
EURUSD,20100127,00:00:00,1.4076,1.3993,1.4094,1.4030
EURUSD,20100128,00:00:00,1.4031,1.3941,1.4049,1.3959
EURUSD,20100129,00:00:00,1.3959,1.3860,1.3984,1.3863
EURUSD,20100201,00:00:00,1.3860,1.3851,1.3936,1.3931
EURUSD,20100202,00:00:00,1.3931,1.3884,1.3972,1.3964
EURUSD,20100203,00:00:00,1.3964,1.3884,1.4023,1.3895
EURUSD,20100204,00:00:00,1.3894,1.3714,1.3901,1.3726
EURUSD,20100205,00:00:00,1.3726,1.3583,1.3743,1.3663
EURUSD,20100208,00:00:00,1.3650,1.3620,1.3710,1.3656
EURUSD,20100209,00:00:00,1.3656,1.3647,1.3836,1.3792
EURUSD,20100210,00:00:00,1.3793,1.3675,1.3809,1.3731
EURUSD,20100211,00:00:00,1.3732,1.3594,1.3798,1.3687
EURUSD,20100212,00:00:00,1.3687,1.3529,1.3692,1.3615
EURUSD,20100215,00:00:00,1.3614,1.3577,1.3630,1.3598
EURUSD,20100216,00:00:00,1.3597,1.3587,1.3776,1.3757
